GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
identify,com.dev001.identify.validator,DobValidator,3,28,2,2,0,7,2,3,0,3
identify,com.dev001.identify,IdentifyApplication,5,3,0,0,2,1,1,1,1,1
identify,com.dev001.identify.controller,AuthenticationController,45,7,0,0,17,2,4,2,4,2
identify,com.dev001.identify.controller,PermissionController,28,7,0,0,10,2,3,2,3,2
identify,com.dev001.identify.controller,RoleController,28,7,0,0,10,2,3,2,3,2
identify,com.dev001.identify.controller,UserController,68,20,0,0,24,7,6,3,6,3
identify,com.dev001.identify.service.impl,UserServiceImpl,111,43,2,0,17,9,6,6,5,6
identify,com.dev001.identify.service.impl,PermissionServiceImpl,35,3,0,0,8,1,4,1,4,1
identify,com.dev001.identify.service.impl,AuthenticationServiceImpl,317,7,14,0,74,2,18,2,11,2
identify,com.dev001.identify.service.impl,RoleServiceImpl,46,3,0,0,8,1,3,1,3,1
identify,com.dev001.identify.exception,ErrorCode,0,98,0,0,0,12,0,5,0,5
identify,com.dev001.identify.exception,AppException,0,11,0,0,0,4,0,2,0,2
identify,com.dev001.identify.exception,GlobalExceptionHandler,37,70,1,1,13,18,3,4,2,4
identify,com.dev001.identify.enums,Role,15,0,0,0,3,0,1,0,1,0
